State Name,District Name,Soil_Type
MAHARASHTRA,Hingoli,Black Soil
MAHARASHTRA,Jalgaon,Black Soil
MAHARASHTRA,Jalna,Black Soil
MAHARASHTRA,Kolhapur,Black Soil
MAHARASHTRA,Latur,Black Soil
MAHARASHTRA,Mumbai,Black Soil
MAHARASHTRA,Mumbai Suburban,Black Soil
MAHARASHTRA,Nagpur,Black Soil
MAHARASHTRA,Nanded,Black Soil
MAHARASHTRA,Nandurbar,Black Soil
MAHARASHTRA,Nashik,Black Soil
MAHARASHTRA,Osmanabad,Black Soil
MAHARASHTRA,Palghar,Black Soil
MAHARASHTRA,Parbhani,Black Soil
MAHARASHTRA,Pune,Black Soil
MAHARASHTRA,Raigarh,Black Soil
MAHARASHTRA,Ratnagiri,Black Soil
MAHARASHTRA,Sangli,Black Soil
MAHARASHTRA,Satara,Black Soil
MAHARASHTRA,Sindhudurg,Black Soil
MAHARASHTRA,Solapur,Black Soil
MAHARASHTRA,Thane,Black Soil
MAHARASHTRA,Wardha,Black Soil
MAHARASHTRA,Washim,Black Soil
MAHARASHTRA,Yavatmal,Black Soil
MANIPUR,Bishnupur,Forest & Mountain Soil
MANIPUR,Chandel,Forest & Mountain Soil
MANIPUR,Churachandpur,Forest & Mountain Soil
MANIPUR,Imphal East,Forest & Mountain Soil
MANIPUR,Imphal West,Forest & Mountain Soil
MANIPUR,Jiribam,Forest & Mountain Soil
MANIPUR,Kakching,Forest & Mountain Soil
MANIPUR,Kamjong,Forest & Mountain Soil
MANIPUR,Kangpokpi,Forest & Mountain Soil
MANIPUR,Noney,Forest & Mountain Soil
MANIPUR,Pherzawl,Forest & Mountain Soil
MANIPUR,Senapati,Forest & Mountain Soil
MANIPUR,Tamenglong,Forest & Mountain Soil
MANIPUR,Tengnoupal,Forest & Mountain Soil
MANIPUR,Thoubal,Forest & Mountain Soil
MANIPUR,Ukhrul,Forest & Mountain Soil
MEGHALAYA,East Garo Hills,Laterite Soil
MEGHALAYA,East Jaintia Hills,Laterite Soil
MEGHALAYA,East Khasi Hills,Laterite Soil
MEGHALAYA,Jaintia Hills,Laterite Soil
MEGHALAYA,North Garo Hills,Laterite Soil
MEGHALAYA,Ribhoi,Laterite Soil
MEGHALAYA,South Garo Hills,Laterite Soil
MEGHALAYA,South West Garo Hills,Laterite Soil
MEGHALAYA,South West Khasi Hills,Laterite Soil
MEGHALAYA,West Garo Hills,Laterite Soil
MEGHALAYA,West Jaintia Hills,Laterite Soil
MEGHALAYA,West Khasi Hills,Laterite Soil
MIZORAM,Aizawl,Forest Soil
MIZORAM,Champhai,Forest Soil
MIZORAM,Kolasib,Forest Soil
MIZORAM,Lawngtlai,Forest Soil
MIZORAM,Lunglei,Forest Soil
MIZORAM,Mamit,Forest Soil
MIZORAM,Saiha,Forest Soil
MIZORAM,Serchhip,Forest Soil
NAGALAND,Dimapur,Forest Soil
NAGALAND,Kiphire,Forest Soil
NAGALAND,Kohima,Forest Soil
NAGALAND,Longleng,Forest Soil
NAGALAND,Mokokchung,Forest Soil
NAGALAND,Mon,Forest Soil
NAGALAND,Peren,Forest Soil
NAGALAND,Phek,Forest Soil
NAGALAND,Tuensang,Forest Soil
NAGALAND,Wokha,Forest Soil
NAGALAND,Zunheboto,Forest Soil
NCT OF DELHI,Central,Unknown
NCT OF DELHI,East,Unknown
NCT OF DELHI,New Delhi,Unknown
NCT OF DELHI,North,Unknown
NCT OF DELHI,North East,Unknown
NCT OF DELHI,North West,Unknown
NCT OF DELHI,Shahdara,Unknown
NCT OF DELHI,South,Unknown
NCT OF DELHI,South East Delhi,Unknown
NCT OF DELHI,South West,Unknown
NCT OF DELHI,West,Unknown
ODISHA,Anugul,Red & Laterite Soil
ODISHA,Balangir,Red & Laterite Soil
ODISHA,Baleshwar,Red & Laterite Soil
ODISHA,Bargarh,Red & Laterite Soil
ODISHA,Baudh,Red & Laterite Soil
ODISHA,Bhadrak,Red & Laterite Soil
ODISHA,Cuttack,Red & Laterite Soil
ODISHA,Debagarh,Red & Laterite Soil
ODISHA,Dhenkanal,Red & Laterite Soil
ODISHA,Gajapati,Red & Laterite Soil
ODISHA,Ganjam,Red & Laterite Soil
ODISHA,Jagatsinghapur,Red & Laterite Soil
ODISHA,Jajapur,Red & Laterite Soil
ODISHA,Jharsuguda,Red & Laterite Soil
ODISHA,Kalahandi,Red & Laterite Soil
ODISHA,Kandhamal,Red & Laterite Soil
ODISHA,Kendrapara,Red & Laterite Soil
ODISHA,Kendujhar,Red & Laterite Soil
ODISHA,Khordha,Red & Laterite Soil
ODISHA,Koraput,Red & Laterite Soil
ODISHA,Malkangiri,Red & Laterite Soil
ODISHA,Mayurbhanj,Red & Laterite Soil
ODISHA,Nabarangapur,Red & Laterite Soil
ODISHA,Nayagarh,Red & Laterite Soil
ODISHA,Nuapada,Red & Laterite Soil
ODISHA,Puri,Red & Laterite Soil
ODISHA,Rayagada,Red & Laterite Soil
ODISHA,Sambalpur,Red & Laterite Soil
ODISHA,Subarnapur,Red & Laterite Soil
ODISHA,Sundargarh,Red & Laterite Soil
PUDUCHERRY,Karaikal,Laterite Soil
PUDUCHERRY,Mahe,Laterite Soil
PUDUCHERRY,Puducherry,Laterite Soil
PUDUCHERRY,Yanam,Laterite Soil
PUNJAB,Amritsar,Alluvial Soil
PUNJAB,Barnala,Alluvial Soil
PUNJAB,Bathinda,Alluvial Soil
PUNJAB,Faridkot,Alluvial Soil
PUNJAB,Fatehgarh Sahib,Alluvial Soil
PUNJAB,Fazilka,Alluvial Soil
PUNJAB,Firozpur,Alluvial Soil
PUNJAB,Gurdaspur,Alluvial Soil
PUNJAB,Hoshiarpur,Alluvial Soil
PUNJAB,Jalandhar,Alluvial Soil
PUNJAB,Kapurthala,Alluvial Soil
PUNJAB,Ludhiana,Alluvial Soil
PUNJAB,Mansa,Alluvial Soil
PUNJAB,Moga,Alluvial Soil
PUNJAB,Muktsar,Alluvial Soil
PUNJAB,Pathankot,Alluvial Soil
PUNJAB,Patiala,Alluvial Soil
PUNJAB,Rupnagar,Alluvial Soil
PUNJAB,Sahibzada Ajit Singh Nagar,Alluvial Soil
PUNJAB,Sangrur,Alluvial Soil
PUNJAB,Shahid Bhagat Singh Nagar,Alluvial Soil
PUNJAB,Tarn Taran,Alluvial Soil
RAJASTHAN,Ajmer,Desert Soil
RAJASTHAN,Alwar,Desert Soil
RAJASTHAN,Banswara,Desert Soil
RAJASTHAN,Baran,Desert Soil
RAJASTHAN,Barmer,Desert Soil
RAJASTHAN,Bharatpur,Desert Soil
RAJASTHAN,Bhilwara,Desert Soil
RAJASTHAN,Bikaner,Desert Soil
RAJASTHAN,Bundi,Desert Soil
RAJASTHAN,Chittaurgarh,Desert Soil
RAJASTHAN,Churu,Desert Soil
RAJASTHAN,Dausa,Desert Soil
RAJASTHAN,Dhaulpur,Desert Soil
RAJASTHAN,Dungarpur,Desert Soil
RAJASTHAN,Hanumangarh,Desert Soil
RAJASTHAN,Jaipur,Desert Soil
RAJASTHAN,Jaisalmer,Desert Soil
RAJASTHAN,Jalor,Desert Soil
RAJASTHAN,Jhalawar,Desert Soil
RAJASTHAN,Jhunjhunun,Desert Soil
RAJASTHAN,Jodhpur,Desert Soil
RAJASTHAN,Karauli,Desert Soil
RAJASTHAN,Kota,Desert Soil
RAJASTHAN,Nagaur,Desert Soil
RAJASTHAN,Pali,Desert Soil
RAJASTHAN,Pratapgarh,Desert Soil
RAJASTHAN,Rajsamand,Desert Soil
RAJASTHAN,Sawai Madhopur,Desert Soil
RAJASTHAN,Sikar,Desert Soil
RAJASTHAN,Sirohi,Desert Soil
RAJASTHAN,Sri Ganganagar,Desert Soil
RAJASTHAN,Tonk,Desert Soil
RAJASTHAN,Udaipur,Desert Soil
SIKKIM,East District,Mountain Soil
SIKKIM,North  District,Mountain Soil
SIKKIM,South District,Mountain Soil
SIKKIM,West District,Mountain Soil
TAMIL NADU,Ariyalur,Red Soil
TAMIL NADU,Chennai,Red Soil
TAMIL NADU,Coimbatore,Red Soil
TAMIL NADU,Cuddalore,Red Soil
TAMIL NADU,Dharmapuri,Red Soil
TAMIL NADU,Dindigul,Red Soil
TAMIL NADU,Erode,Red Soil
TAMIL NADU,Kancheepuram,Red Soil
TAMIL NADU,Kanniyakumari,Red Soil
TAMIL NADU,Karur,Red Soil
TAMIL NADU,Krishnagiri,Red Soil
TAMIL NADU,Madurai,Red Soil
TAMIL NADU,Nagapattinam,Red Soil
TAMIL NADU,Namakkal,Red Soil
TAMIL NADU,Perambalur,Red Soil
TAMIL NADU,Pudukkottai,Red Soil
TAMIL NADU,Ramanathapuram,Red Soil
TAMIL NADU,Salem,Red Soil
TAMIL NADU,Sivaganga,Red Soil
TAMIL NADU,Thanjavur,Red Soil
TAMIL NADU,The Nilgiris,Red Soil
TAMIL NADU,Theni,Red Soil
TAMIL NADU,Thiruvallur,Red Soil
TAMIL NADU,Thiruvarur,Red Soil
TAMIL NADU,Thoothukkudi,Red Soil
TAMIL NADU,Tiruchirappalli,Red Soil
TAMIL NADU,Tirunelveli,Red Soil
TAMIL NADU,Tiruppur,Red Soil
TAMIL NADU,Tiruvannamalai,Red Soil
TAMIL NADU,Vellore,Red Soil
TAMIL NADU,Viluppuram,Red Soil
TAMIL NADU,Virudhunagar,Red Soil
TELANGANA,Adilabad,Red & Black Soil
TELANGANA,Bhadradri,Red & Black Soil
TELANGANA,Hyderabad,Red & Black Soil
TELANGANA,Jagtial,Red & Black Soil
TELANGANA,Jangaon,Red & Black Soil
TELANGANA,Jayashankar,Red & Black Soil
TELANGANA,Jogulamba,Red & Black Soil
TELANGANA,Kamareddy,Red & Black Soil
TELANGANA,Karimnagar,Red & Black Soil
TELANGANA,Khammam,Red & Black Soil
TELANGANA,Komaram Bheem,Red & Black Soil
TELANGANA,Mahabubabad,Red & Black Soil
TELANGANA,Mahbubnagar,Red & Black Soil
TELANGANA,Mancherial,Red & Black Soil
TELANGANA,Medak,Red & Black Soil
TELANGANA,Medchal-Malkajgiri,Red & Black Soil
TELANGANA,Nagarkurnool,Red & Black Soil
TELANGANA,Nalgonda,Red & Black Soil
TELANGANA,Nirmal,Red & Black Soil
TELANGANA,Nizamabad,Red & Black Soil
TELANGANA,Peddapalli,Red & Black Soil
TELANGANA,Rajanna,Red & Black Soil
TELANGANA,Rangareddy,Red & Black Soil
TELANGANA,Sangareddy,Red & Black Soil
TELANGANA,Siddipet,Red & Black Soil
TELANGANA,Suryapet,Red & Black Soil
TELANGANA,Vikarabad,Red & Black Soil
TELANGANA,Wanaparthy,Red & Black Soil
TELANGANA,Warangal Rural,Red & Black Soil
TELANGANA,Warangal Urban,Red & Black Soil
TELANGANA,Yadadri,Red & Black Soil
TRIPURA,Dhalai,Alluvial Soil
TRIPURA,Gomati,Alluvial Soil
TRIPURA,Khowai,Alluvial Soil
TRIPURA,North Tripura,Alluvial Soil
TRIPURA,Sepahijala,Alluvial Soil
TRIPURA,South Tripura,Alluvial Soil
TRIPURA,Unakoti,Alluvial Soil
TRIPURA,West Tripura,Alluvial Soil
UTTAR PRADESH,Agra,Alluvial Soil
UTTAR PRADESH,Aligarh,Alluvial Soil
UTTAR PRADESH,Allahabad,Alluvial Soil
UTTAR PRADESH,Ambedkar Nagar,Alluvial Soil
UTTAR PRADESH,Amethi,Alluvial Soil
UTTAR PRADESH,Amroha,Alluvial Soil
UTTAR PRADESH,Auraiya,Alluvial Soil
UTTAR PRADESH,Azamgarh,Alluvial Soil
UTTAR PRADESH,Baghpat,Alluvial Soil
UTTAR PRADESH,Bahraich,Alluvial Soil
UTTAR PRADESH,Ballia,Alluvial Soil
UTTAR PRADESH,Balrampur,Alluvial Soil
UTTAR PRADESH,Banda,Alluvial Soil
UTTAR PRADESH,Bara Banki,Alluvial Soil
UTTAR PRADESH,Bareilly,Alluvial Soil
UTTAR PRADESH,Basti,Alluvial Soil
UTTAR PRADESH,Bhadohi,Alluvial Soil
UTTAR PRADESH,Bijnor,Alluvial Soil
UTTAR PRADESH,Budaun,Alluvial Soil
UTTAR PRADESH,Bulandshahr,Alluvial Soil
UTTAR PRADESH,Chandauli,Alluvial Soil
UTTAR PRADESH,Chitrakoot,Alluvial Soil
UTTAR PRADESH,Deoria,Alluvial Soil
UTTAR PRADESH,Etah,Alluvial Soil
UTTAR PRADESH,Etawah,Alluvial Soil
UTTAR PRADESH,Faizabad,Alluvial Soil
UTTAR PRADESH,Farrukhabad,Alluvial Soil
UTTAR PRADESH,Fatehpur,Alluvial Soil
UTTAR PRADESH,Firozabad,Alluvial Soil
UTTAR PRADESH,Gautam Buddha Nagar,Alluvial Soil
UTTAR PRADESH,Ghaziabad,Alluvial Soil
UTTAR PRADESH,Ghazipur,Alluvial Soil
UTTAR PRADESH,Gonda,Alluvial Soil
UTTAR PRADESH,Gorakhpur,Alluvial Soil
UTTAR PRADESH,Hamirpur,Alluvial Soil
UTTAR PRADESH,Hapur,Alluvial Soil
UTTAR PRADESH,Hardoi,Alluvial Soil
UTTAR PRADESH,Hathras,Alluvial Soil
UTTAR PRADESH,Jalaun,Alluvial Soil
UTTAR PRADESH,Jaunpur,Alluvial Soil
UTTAR PRADESH,Jhansi,Alluvial Soil
UTTAR PRADESH,Kannauj,Alluvial Soil
UTTAR PRADESH,Kanpur Dehat,Alluvial Soil
UTTAR PRADESH,Kanpur Nagar,Alluvial Soil
UTTAR PRADESH,Kasganj,Alluvial Soil
UTTAR PRADESH,Kaushambi,Alluvial Soil
UTTAR PRADESH,Kheri,Alluvial Soil
UTTAR PRADESH,Kushinagar,Alluvial Soil
UTTAR PRADESH,Lalitpur,Alluvial Soil
UTTAR PRADESH,Lucknow,Alluvial Soil
UTTAR PRADESH,Mahoba,Alluvial Soil
UTTAR PRADESH,Mahrajganj,Alluvial Soil
UTTAR PRADESH,Mainpuri,Alluvial Soil
UTTAR PRADESH,Mathura,Alluvial Soil
UTTAR PRADESH,Mau,Alluvial Soil
UTTAR PRADESH,Meerut,Alluvial Soil
UTTAR PRADESH,Mirzapur,Alluvial Soil
UTTAR PRADESH,Moradabad,Alluvial Soil
UTTAR PRADESH,Muzaffarnagar,Alluvial Soil
UTTAR PRADESH,Pilibhit,Alluvial Soil
UTTAR PRADESH,Pratapgarh,Alluvial Soil
UTTAR PRADESH,Rae Bareli,Alluvial Soil
UTTAR PRADESH,Rampur,Alluvial Soil
UTTAR PRADESH,Saharanpur,Alluvial Soil
UTTAR PRADESH,Sambhal,Alluvial Soil
UTTAR PRADESH,Sant Kabir Nagar,Alluvial Soil
UTTAR PRADESH,Shahjahanpur,Alluvial Soil
UTTAR PRADESH,Shamli,Alluvial Soil
UTTAR PRADESH,Shrawasti,Alluvial Soil
UTTAR PRADESH,Siddharthnagar,Alluvial Soil
UTTAR PRADESH,Sitapur,Alluvial Soil
UTTAR PRADESH,Sonbhadra,Alluvial Soil
UTTAR PRADESH,Sultanpur,Alluvial Soil
UTTAR PRADESH,Unnao,Alluvial Soil
UTTAR PRADESH,Varanasi,Alluvial Soil
UTTARAKHAND,Almora,Mountain Soil
UTTARAKHAND,Bageshwar,Mountain Soil
UTTARAKHAND,Chamoli,Mountain Soil
UTTARAKHAND,Champawat,Mountain Soil
UTTARAKHAND,Dehradun,Mountain Soil
UTTARAKHAND,Garhwal,Mountain Soil
UTTARAKHAND,Hardwar,Mountain Soil
UTTARAKHAND,Nainital,Mountain Soil
UTTARAKHAND,Pithoragarh,Mountain Soil
UTTARAKHAND,Rudraprayag,Mountain Soil
UTTARAKHAND,Tehri Garhwal,Mountain Soil
UTTARAKHAND,Udham Singh Nagar,Mountain Soil
UTTARAKHAND,Uttarkashi,Mountain Soil
WEST BENGAL,Alipurduar,Alluvial Soil
WEST BENGAL,Bankura,Alluvial Soil
WEST BENGAL,Barddhaman,Alluvial Soil
WEST BENGAL,Birbhum,Alluvial Soil
WEST BENGAL,Dakshin Dinajpur,Alluvial Soil
WEST BENGAL,Darjiling,Alluvial Soil
WEST BENGAL,Haora,Alluvial Soil
WEST BENGAL,Hugli,Alluvial Soil
WEST BENGAL,Jalpaiguri,Alluvial Soil
WEST BENGAL,Jhargram,Alluvial Soil
WEST BENGAL,Kalimpong,Alluvial Soil
WEST BENGAL,Koch Bihar,Alluvial Soil
WEST BENGAL,Kolkata,Alluvial Soil
WEST BENGAL,Maldah,Alluvial Soil
WEST BENGAL,Murshidabad,Alluvial Soil
WEST BENGAL,Nadia,Alluvial Soil
WEST BENGAL,North Twenty Four Parganas,Alluvial Soil
WEST BENGAL,Paschim Bardhaman,Alluvial Soil
WEST BENGAL,Paschim Medinipur,Alluvial Soil
WEST BENGAL,Purba Bardhaman,Alluvial Soil
WEST BENGAL,Purba Medinipur,Alluvial Soil
WEST BENGAL,Puruliya,Alluvial Soil
WEST BENGAL,South Twenty Four Parganas,Alluvial Soil
WEST BENGAL,Uttar Dinajpur,Alluvial Soil
